"행정구역","2010년01월_남_총인구수","2010년01월_남_연령구간인구수","2010년01월_남_0세","2010년01월_남_1세","2010년01월_남_2세","2010년01월_남_3세","2010년01월_남_4세","2010년01월_남_5세","2010년01월_남_6세","2010년01월_남_7세","2010년01월_남_8세","2010년01월_남_9세","2010년01월_남_10세","2010년01월_남_11세","2010년01월_남_12세","2010년01월_남_13세","2010년01월_남_14세","2010년01월_남_15세","2010년01월_남_16세","2010년01월_남_17세","2010년01월_남_18세","2010년01월_남_19세","2010년01월_남_20세","2010년01월_남_21세","2010년01월_남_22세","2010년01월_남_23세","2010년01월_남_24세","2010년01월_남_25세","2010년01월_남_26세","2010년01월_남_27세","2010년01월_남_28세","2010년01월_남_29세","2010년01월_남_30세","2010년01월_남_31세","2010년01월_남_32세","2010년01월_남_33세","2010년01월_남_34세","2010년01월_남_35세","2010년01월_남_36세","2010년01월_남_37세","2010년01월_남_38세","2010년01월_남_39세","2010년01월_남_40세","2010년01월_남_41세","2010년01월_남_42세","2010년01월_남_43세","2010년01월_남_44세","2010년01월_남_45세","2010년01월_남_46세","2010년01월_남_47세","2010년01월_남_48세","2010년01월_남_49세","2010년01월_남_50세","2010년01월_남_51세","2010년01월_남_52세","2010년01월_남_53세","2010년01월_남_54세","2010년01월_남_55세","2010년01월_남_56세","2010년01월_남_57세","2010년01월_남_58세","2010년01월_남_59세","2010년01월_남_60세","2010년01월_남_61세","2010년01월_남_62세","2010년01월_남_63세","2010년01월_남_64세","2010년01월_남_65세","2010년01월_남_66세","2010년01월_남_67세","2010년01월_남_68세","2010년01월_남_69세","2010년01월_남_70세","2010년01월_남_71세","2010년01월_남_72세","2010년01월_남_73세","2010년01월_남_74세","2010년01월_남_75세","2010년01월_남_76세","2010년01월_남_77세","2010년01월_남_78세","2010년01월_남_79세","2010년01월_남_80세","2010년01월_남_81세","2010년01월_남_82세","2010년01월_남_83세","2010년01월_남_84세","2010년01월_남_85세","2010년01월_남_86세","2010년01월_남_87세","2010년01월_남_88세","2010년01월_남_89세","2010년01월_남_90세","2010년01월_남_91세","2010년01월_남_92세","2010년01월_남_93세","2010년01월_남_94세","2010년01월_남_95세","2010년01월_남_96세","2010년01월_남_97세","2010년01월_남_98세","2010년01월_남_99세","2010년01월_남_100세 이상","2010년01월_여_총인구수","2010년01월_여_연령구간인구수","2010년01월_여_0세","2010년01월_여_1세","2010년01월_여_2세","2010년01월_여_3세","2010년01월_여_4세","2010년01월_여_5세","2010년01월_여_6세","2010년01월_여_7세","2010년01월_여_8세","2010년01월_여_9세","2010년01월_여_10세","2010년01월_여_11세","2010년01월_여_12세","2010년01월_여_13세","2010년01월_여_14세","2010년01월_여_15세","2010년01월_여_16세","2010년01월_여_17세","2010년01월_여_18세","2010년01월_여_19세","2010년01월_여_20세","2010년01월_여_21세","2010년01월_여_22세","2010년01월_여_23세","2010년01월_여_24세","2010년01월_여_25세","2010년01월_여_26세","2010년01월_여_27세","2010년01월_여_28세","2010년01월_여_29세","2010년01월_여_30세","2010년01월_여_31세","2010년01월_여_32세","2010년01월_여_33세","2010년01월_여_34세","2010년01월_여_35세","2010년01월_여_36세","2010년01월_여_37세","2010년01월_여_38세","2010년01월_여_39세","2010년01월_여_40세","2010년01월_여_41세","2010년01월_여_42세","2010년01월_여_43세","2010년01월_여_44세","2010년01월_여_45세","2010년01월_여_46세","2010년01월_여_47세","2010년01월_여_48세","2010년01월_여_49세","2010년01월_여_50세","2010년01월_여_51세","2010년01월_여_52세","2010년01월_여_53세","2010년01월_여_54세","2010년01월_여_55세","2010년01월_여_56세","2010년01월_여_57세","2010년01월_여_58세","2010년01월_여_59세","2010년01월_여_60세","2010년01월_여_61세","2010년01월_여_62세","2010년01월_여_63세","2010년01월_여_64세","2010년01월_여_65세","2010년01월_여_66세","2010년01월_여_67세","2010년01월_여_68세","2010년01월_여_69세","2010년01월_여_70세","2010년01월_여_71세","2010년01월_여_72세","2010년01월_여_73세","2010년01월_여_74세","2010년01월_여_75세","2010년01월_여_76세","2010년01월_여_77세","2010년01월_여_78세","2010년01월_여_79세","2010년01월_여_80세","2010년01월_여_81세","2010년01월_여_82세","2010년01월_여_83세","2010년01월_여_84세","2010년01월_여_85세","2010년01월_여_86세","2010년01월_여_87세","2010년01월_여_88세","2010년01월_여_89세","2010년01월_여_90세","2010년01월_여_91세","2010년01월_여_92세","2010년01월_여_93세","2010년01월_여_94세","2010년01월_여_95세","2010년01월_여_96세","2010년01월_여_97세","2010년01월_여_98세","2010년01월_여_99세","2010년01월_여_100세 이상"
"전국  (0000000000)","24,951,327","24,951,327","214,626","237,939","254,898","233,071","224,702","243,093","256,150","256,409","287,424","331,814","325,632","334,005","347,318","359,079","375,363","380,184","379,474","383,001","370,057","340,496","332,248","325,939","320,147","323,678","334,800","338,298","379,281","416,932","430,942","425,569","421,563","377,115","391,405","387,346","398,740","436,303","449,870","460,079","479,674","473,718","464,321","470,435","431,283","432,019","431,007","428,205","400,942","452,853","461,029","472,744","434,324","399,759","394,544","358,016","360,077","322,386","267,553","293,818","221,977","228,516","233,729","230,165","231,669","193,211","159,265","170,916","167,152","211,548","178,644","150,811","154,896","139,906","127,136","119,013","108,464","96,350","80,410","71,071","57,823","49,398","46,104","39,494","32,699","26,098","21,745","18,893","17,380","14,689","10,271","7,850","6,085","4,184","3,255","2,131","1,427","1,004","696","555","338","291","371","24,859,282","24,859,282","201,671","223,819","240,869","217,506","209,358","225,677","236,909","235,049","263,767","302,728","297,601","304,095","322,011","323,074","333,391","331,008","330,594","338,761","331,789","302,191","294,714","293,485","295,470","297,254","309,649","315,814","358,542","396,553","410,680","405,309","406,909","356,835","381,255","368,994","386,401","419,394","441,459","435,387","456,542","453,939","450,983","460,750","433,204","394,298","418,457","409,226","378,866","427,211","449,640","468,406","430,273","387,900","383,015","351,497","365,942","318,515","271,037","298,920","224,695","232,996","240,072","236,687","245,021","203,329","172,488","194,140","195,558","244,170","213,273","186,388","195,473","181,928","170,168","166,729","158,864","148,256","131,745","122,542","108,974","101,773","95,264","86,573","75,327","61,577","54,676","43,960","45,059","40,286","29,675","22,896","17,735","13,748","11,994","8,897","6,206","4,672","3,422","2,567","1,615","1,020","2,251"
"서울특별시  (1100000000)","5,062,268","5,062,268","41,818","45,477","47,438","42,967","40,426","44,283","45,780","45,067","49,675","57,871","56,502","58,321","61,859","63,707","67,828","70,845","71,154","72,527","71,299","66,307","64,947","65,297","65,158","68,289","72,993","76,641","89,962","100,086","105,500","104,210","103,042","89,674","91,711","90,213","90,346","96,643","96,486","99,063","101,886","98,071","94,153","91,635","83,364","81,761","82,587","83,085","78,593","85,460","87,071","90,022","85,146","80,313","79,713","73,297","75,523","67,897","58,215","63,445","45,936","49,844","50,647","49,549","50,616","42,954","35,998","37,467","36,232","44,608","37,189","30,285","29,659","26,123","23,130","20,754","18,796","15,761","13,094","11,497","9,154","8,147","7,488","6,373","5,199","4,135","3,328","3,046","3,039","2,492","1,790","1,484","1,112","767","616","368","280","209","131","104","67","71","80","5,150,885","5,150,885","39,463","42,889","44,906","40,527","38,110","41,460","43,085","42,352","46,115","53,467","52,106","53,636","57,205","58,137","60,962","62,195","61,837","65,155","65,063","60,991","60,938","63,183","65,682","69,836","76,433","80,897","92,856","102,730","105,275","102,990","102,976","86,327","90,537","85,846","86,353","91,512","94,133","93,536","96,995","95,358","92,352","91,569","86,883","77,454","83,567","83,711","78,514","86,236","90,829","97,623","91,362","84,909","84,819","78,791","83,323","72,306","62,203","67,513","48,352","52,171","54,026","52,465","54,717","46,158","38,059","39,567","38,964","46,036","39,037","33,236","33,239","30,335","28,035","26,665","25,347","22,665","19,988","18,601","16,608","15,768","14,950","13,887","12,109","10,193","8,887","7,268","7,377","6,539","4,975","3,891","3,077","2,328","2,017","1,531","1,100","815","604","449","259","168","404"
"부산광역시  (2600000000)","1,761,282","1,761,282","11,961","13,254","14,228","12,859","12,732","13,717","14,972","14,904","17,200","19,911","19,982","20,919","21,947","23,943","25,137","26,124","26,772","27,601","26,875","24,605","24,864","24,462","24,174","24,792","25,524","25,948","28,411","30,171","31,480","30,652","29,594","25,737","25,659","24,201","25,557","27,480","28,329","28,935","29,630","29,864","29,362","30,199","28,271","28,083","28,154","27,933","27,517","32,157","33,330","35,279","32,753","31,586","32,031","29,878","30,813","28,394","23,567","25,482","21,148","20,468","20,741","20,707","19,797","16,290","13,114","15,126","14,720","16,939","14,240","12,322","11,920","10,416","9,248","8,404","7,493","6,528","5,340","4,740","3,949","3,062","2,947","2,466","1,918","1,535","1,235","1,039","966","737","534","395","283","192","143","84","62","40","32","28","17","8","13","1,781,349","1,781,349","11,323","12,644","13,459","12,106","11,723","12,987","13,730","13,730","15,504","17,891","17,699","18,389","19,895","20,665","21,646","21,866","22,374","23,315","23,016","21,185","21,793","21,900","22,144","22,241","23,062","23,658","26,589","28,839","30,467","29,571","28,447","23,966","24,663","23,040","24,724","26,622","28,297","27,775","29,484","29,901","29,947","31,177","30,580","27,291","29,789","29,161","28,068","33,294","36,058","38,183","35,423","32,776","33,247","30,843","33,682","27,599","24,690","26,409","21,749","20,683","21,695","21,200","20,900","16,793","13,341","16,175","15,867","18,402","16,298","14,529","14,401","12,808","11,948","11,561","10,885","10,103","8,663","8,363","7,426","6,634","6,288","6,018","5,320","4,145","3,687","2,913","2,744","2,287","1,787","1,349","920","718","617","454","301","279","177","132","70","51","121"
"대구광역시  (2700000000)","1,245,055","1,245,055","9,525","10,614","11,491","10,597","10,762","11,528","12,744","12,814","14,599","17,094","16,960","17,590","18,842","19,628","20,833","21,119","21,080","21,804","21,105","19,357","19,450","18,785","17,989","17,739","17,718","17,173","18,388","19,531","19,869","19,411","19,172","16,856","17,632","18,047","18,559","20,016","20,740","21,633","22,417","22,688","22,398","23,736","22,366","21,810","21,565","21,781","20,474","23,478","24,014","23,404","22,549","19,431","19,961","18,647","17,659","15,971","14,078","15,277","12,316","11,697","12,271","11,849","11,295","8,424","6,943","8,238","8,475","10,163","8,221","6,978","7,290","6,349","5,746","5,381","4,980","4,482","3,582","3,321","2,605","2,027","1,788","1,649","1,461","1,092","892","738","583","462","361","272","182","136","104","62","42","37","24","16","7","6","10","1,246,628","1,246,628","8,639","9,747","10,912","9,792","9,775","10,407","11,549","11,095","13,004","15,147","15,016","14,942","16,717","16,992","17,786","17,319","17,074","17,264","16,804","15,152","15,264","14,220","14,455","14,307","14,715","14,851","17,516","19,629","20,207","19,474","19,490","16,592","17,929","17,632","19,040","20,570","21,748","22,269","23,065","23,355","23,847","24,301","23,946","21,019","22,850","22,221","20,497","23,503","24,212","24,453","23,705","19,411","19,721","18,699","19,195","16,150","14,932","16,596","12,856","12,181","12,868","12,986","12,375","9,208","7,806","9,594","10,204","11,887","10,234","9,005","9,554","8,449","7,961","7,674","7,327","6,794","5,930","5,712","5,024","4,438","3,862","3,772","3,323","2,583","2,308","1,814","1,671","1,568","1,223","903","715","522","474","309","237","184","115","87","57","31","84"
"인천광역시  (2800000000)","1,366,815","1,366,815","11,814","13,317","14,220","13,051","12,436","13,442","14,144","13,921","15,972","18,082","18,079","18,298","19,233","20,244","21,237","21,854","22,016","22,247","21,849","19,911","19,065","18,641","18,051","18,116","18,745","18,899","20,761","23,144","24,012","23,468","23,768","20,883","21,617","21,295","22,364","24,172","24,968","25,778","26,563","26,342","25,740","26,278","24,374","24,677","25,529","25,669","24,213","27,320","27,700","28,245","25,649","23,607","22,385","19,860","19,679","17,171","13,876","15,234","10,380","11,235","11,569","11,226","11,232","9,392","7,593","7,740","7,774","9,228","7,599","6,221","6,384","5,950","5,207","4,857","4,541","3,894","3,207","2,785","2,408","2,034","1,948","1,626","1,380","1,041","882","826","882","683","493","372","324","191","161","93","67","38","25","37","25","17","23","1,347,494","1,347,494","11,199","12,530","13,495","12,124","11,742","12,489","13,357","12,987","14,566","16,847","16,375","16,927","18,144","18,421","19,215","19,282","19,911","20,724","19,970","18,254","17,669","17,206","17,036","17,050","17,710","17,752","19,998","21,815","22,764","22,190","22,060","19,804","20,790","19,947","21,171","23,008","24,805","24,497","25,586","25,575","25,782","26,941","25,218","23,534","25,065","25,143","22,865","25,920","26,273","26,818","24,122","22,084","21,114","18,617","18,990","16,213","13,536","14,488","9,911","10,714","11,147","10,881","11,499","9,891","8,009","8,423","8,607","10,557","9,141","7,877","8,234","7,922","7,256","7,143","6,737","6,120","5,647","5,368","4,694","4,484","4,139","3,852","3,257","2,753","2,453","2,133","1,884","1,703","1,257","978","738","599","554","362","233","189","131","99","78","35","90"
"광주광역시  (2900000000)","711,961","711,961","6,395","7,290","8,097","7,430","7,207","7,812","8,854","8,592","9,723","11,567","11,227","11,621","12,221","12,435","12,675","12,824","12,525","12,640","11,824","10,613","10,123","9,865","9,584","9,526","9,931","10,102","11,452","12,216","12,138","11,740","11,844","10,544","11,161","11,356","11,347","12,643","12,661","12,985","13,335","13,469","12,777","13,485","12,457","12,456","12,101","11,585","11,463","11,593","11,656","12,560","11,463","10,005","9,911","8,597","8,654","7,638","6,185","6,873","5,892","5,914","6,098","5,783","5,929","5,200","4,153","4,290","3,792","5,588","4,340","3,551","3,474","3,282","2,924","2,421","2,512","2,204","1,803","1,529","1,300","1,107","1,185","937","764","612","478","418","382","300","208","145","111","99","49","45","36","15","10","11","7","4","6","723,339","723,339","6,029","6,900","7,374","6,915","6,634","7,270","7,949","7,841","9,057","10,438","10,372","10,780","11,400","11,304","11,888","11,502","11,379","11,377","10,771","9,739","9,341","9,275","9,194","9,165","9,428","9,458","10,903","11,862","12,213","11,799","12,055","10,726","11,429","11,121","11,243","12,628","13,035","13,072","13,620","13,484","12,831","13,671","12,642","12,001","12,293","11,392","11,310","11,525","11,819","12,918","11,868","10,610","10,210","8,634","9,097","7,995","6,599","7,327","6,155","6,359","6,686","6,233","6,533","5,344","4,615","4,835","4,420","6,127","5,271","4,456","4,525","4,175","4,038","3,735","3,613","3,416","2,977","2,693","2,475","2,506","2,411","2,009","1,755","1,449","1,281","961","1,202","1,009","742","607","494","378","291","239","145","153","86","68","52","38","70"
"대전광역시  (3000000000)","743,563","743,563","6,689","7,516","8,136","7,473","7,271","7,992","8,438","8,407","9,360","10,655","10,508","10,994","11,416","11,848","12,488","12,511","12,234","12,337","11,869","11,187","10,783","10,602","10,429","10,466","10,720","10,778","11,592","12,518","12,804","12,351","12,241","11,163","11,641","11,504","11,904","12,995","13,875","13,710","14,366","14,055","14,038","14,338","12,853","12,512","12,497","12,696","11,136","13,439","13,856","14,063","12,576","11,284","11,632","10,660","10,428","9,282","7,553","7,941","6,122","6,403","6,477","6,145","5,794","4,892","4,053","4,346","4,127","5,336","4,364","3,316","3,623","3,250","3,027","2,757","2,457","2,263","1,882","1,655","1,330","1,134","1,017","946","836","640","584","429","434","335","259","195","149","104","79","58","46","32","17","20","5","6","9","741,286","741,286","6,275","6,982","7,833","6,941","6,732","7,465","7,897","7,667","8,518","9,823","9,622","10,016","10,638","10,655","10,952","10,849","10,702","10,942","10,721","9,520","9,301","9,395","9,537","9,505","9,911","9,998","11,094","12,233","12,599","12,428","12,217","11,214","11,738","11,615","11,806","13,226","13,875","13,478","14,112","13,983","14,322","14,891","13,389","11,971","12,679","12,655","10,958","13,109","13,923","14,351","12,868","11,240","11,299","10,423","10,433","9,339","7,359","7,890","6,088","6,369","6,399","6,193","5,932","4,956","4,299","4,820","4,751","5,972","5,012","4,136","4,573","4,263","3,846","3,976","3,662","3,416","3,116","2,858","2,481","2,327","2,202","1,992","1,808","1,383","1,269","1,094","1,097","909","704","505","374","352","293","207","156","105","79","63","49","29","57"
"울산광역시  (3100000000)","573,992","573,992","5,431","5,862","6,266","5,659","5,486","5,822","6,267","5,994","7,149","8,176","8,229","8,649","9,132","9,569","10,055","10,201","10,304","10,301","9,986","8,850","8,764","8,267","7,516","7,390","7,438","7,536","8,485","9,185","9,705","9,727","9,587","8,609","8,965","8,452","8,592","9,562","9,733","10,177","10,686","10,786","10,857","11,487","10,797","11,269","11,482","11,133","10,083","11,691","11,586","11,623","10,622","9,744","9,179","8,515","8,314","7,305","6,258","6,470","5,079","5,004","4,752","4,666","4,336","3,305","2,585","2,802","2,837","3,423","2,595","2,164","2,252","1,921","1,600","1,452","1,261","1,182","1,047","865","671","590","513","442","354","264","240","175","144","139","103","77","53","43","31","18","12","12","11","5","1","1","0","541,633","541,633","4,941","5,420","5,862","5,114","4,938","5,169","5,460","5,390","6,254","7,299","7,364","7,510","8,193","8,158","8,439","8,339","8,326","8,414","8,456","7,091","6,915","6,368","6,321","6,240","6,375","6,493","7,444","8,373","8,671","8,799","8,875","7,722","8,501","7,948","8,583","9,589","10,179","10,086","10,946","11,182","11,190","11,729","11,295","10,185","10,746","10,108","9,306","10,351","10,978","11,174","9,853","8,955","8,772","7,867","7,997","6,526","5,737","5,940","4,632","4,336","4,190","4,150","3,985","3,112","2,450","3,052","3,011","3,588","2,818","2,690","2,691","2,467","2,310","2,185","2,066","2,004","1,787","1,657","1,555","1,339","1,300","1,309","1,128","893","797","672","679","591","407","324","245","173","195","132","81","63","40","34","7","11","21"
"경기도  (4100000000)","5,786,143","5,786,143","55,247","62,710","67,592","62,595","59,661","64,289","67,375","66,978","74,021","85,472","82,564","83,935","85,831","87,410","90,876","90,546","89,601","89,569","85,790","77,382","74,074","71,617","69,291","69,178","71,941","72,796","82,423","92,834","97,768","98,151","98,059","89,028","94,514","95,724","99,235","109,319","113,568","117,172","122,969","121,898","118,821","118,749","107,529","108,891","108,593","108,551","99,141","110,555","110,373","112,067","100,608","92,065","87,023","76,512","76,369","66,749","54,372","59,791","39,746","42,414","43,118","42,806","44,155","37,703","31,390","31,765","30,909","38,300","32,913","28,228","28,298","26,109","23,739","22,444","20,188","17,955","14,802","13,251","10,635","9,246","8,598","7,167","5,979","4,702","3,973","3,661","3,386","3,031","2,092","1,557","1,279","831","639","408","260","195","146","126","86","76","75","5,698,098","5,698,098","52,395","59,406","64,366","58,764","55,967","60,834","62,951","61,865","68,864","78,549","76,603","77,268","80,769","79,875","82,100","81,021","80,571","81,492","79,808","71,575","67,969","67,347","66,700","66,386","69,460","70,404","79,449","88,401","94,122","94,278","96,643","86,809","94,643","93,726","98,546","107,456","113,772","113,505","118,685","117,468","116,071","117,087","108,146","98,507","103,005","100,538","89,990","99,549","102,580","103,430","92,431","83,533","79,496","71,565","72,539","63,240","52,434","58,320","39,227","43,292","43,938","44,109","46,972","40,104","34,228","36,740","36,557","44,579","39,602","34,271","35,599","33,595","31,276","30,507","29,102","26,440","23,708","21,543","18,886","18,029","16,993","15,288","13,246","11,131","9,903","8,122","7,934","7,174","5,340","4,086","3,175","2,505","2,169","1,595","1,158","818","600","418","286","195","385"
"강원도  (4200000000)","760,951","760,951","5,856","6,349","7,184","6,589","6,597","7,169","7,420","7,791","8,748","9,983","9,781","10,100","10,261","10,377","10,776","10,769","10,900","10,759","10,409","10,166","9,665","9,882","9,725","10,327","10,484","10,001","10,671","11,015","10,777","10,769","10,370","9,908","9,932","10,005","10,374","11,830","12,665","12,716","13,224","13,236","13,376","14,066","12,671","13,090","12,088","12,392","12,098","13,980","14,648","14,699","14,015","13,471","13,795","12,311","11,860","11,108","8,866","10,684","6,068","6,372","6,700","7,203","7,627","7,021","6,465","6,644","6,675","7,870","7,160","6,622","6,708","6,200","5,718","5,340","4,473","3,742","3,088","2,535","2,261","2,085","1,855","1,606","1,242","1,084","1,058","1,004","921","730","476","396","338","239","205","147","65","55","46","40","25","31","33","751,137","751,137","5,544","6,040","6,588","6,027","6,073","6,561","6,841","7,232","7,830","8,990","9,109","9,277","9,659","9,506","9,695","9,457","9,475","9,751","9,494","8,911","8,520","8,635","8,278","7,980","7,921","7,583","8,674","9,543","9,734","9,765","9,702","9,157","9,551","9,413","10,172","11,138","11,763","11,297","12,024","12,069","12,320","12,629","11,704","11,612","11,584","11,358","11,149","12,942","14,066","14,556","13,862","12,641","12,812","11,542","11,481","10,481","8,817","10,699","6,481","6,966","7,040","7,678","8,114","7,299","7,106","7,757","7,795","9,310","8,650","8,106","8,222","7,780","6,876","6,830","6,278","5,967","5,267","4,644","4,248","4,379","4,090","3,681","3,077","2,640","2,543","2,017","1,856","1,642","1,245","934","793","662","587","386","283","200","149","112","66","46","101"
